0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5.7539845,0.0,3.447132,4.5803423,11.622967,7.0629854,0.0,14.060717,13.555956,9.7714405,8.271203,8.477892,9.497794,1.9328169,8.79303,12.560291,2.455119,2.8673599,19.054274,4.193882,4.2596364,8.649711,9.607018,6.3045487,38.136974,16.868784,0.0,9.678219,0.0,12.206043,0.0,15.758677
5.659747,0.0,5.129256,4.826433,10.452035,6.7424765,0.0,14.967676,13.796353,10.365763,7.9746585,8.270632,8.944403,2.1504986,8.811921,12.144927,2.2051222,3.1362927,20.064016,4.0593386,3.9588666,8.4765005,8.993492,5.701754,37.354202,16.781641,0.0,9.987558,0.0,12.351247,0.0,15.48954
5.616066,0.0,5.426115,4.661484,10.163416,6.5433955,0.0,15.202693,13.929486,10.40393,8.020174,8.231363,7.993052,2.307168,9.092042,12.220182,2.1556852,3.2134402,20.494427,4.1874475,3.7625716,8.447677,8.754591,5.8282123,37.07739,16.774937,0.0,10.107587,0.0,12.495392,0.0,15.299829
5.285804,0.0,6.2969437,4.633906,9.491373,6.0855083,0.0,15.350601,14.337981,10.662718,7.870383,7.938962,7.5301127,2.5130773,9.195896,12.241927,2.1604114,3.3120892,20.981573,4.289688,3.8923638,8.333756,8.326492,5.857445,36.509727,16.363012,0.0,10.197106,0.0,12.1782,0.0,15.065593
4.2706614,0.0,5.9873743,3.259944,8.677656,5.4326873,0.0,15.912723,13.609571,11.046409,7.0785637,6.4422827,6.56604,3.6189299,10.3609705,12.701235,2.570646,2.7699587,21.296194,4.3191705,4.1490836,9.011058,8.0269165,6.1084766,35.42459,15.854533,0.0,10.814566,0.0,12.758793,0.0,14.77088
4.7148943,0.0,7.1485577,4.040073,9.372757,5.8297553,0.0,15.251264,14.923919,11.319857,8.154019,7.259593,6.5528493,2.517375,9.173368,11.813067,2.4650843,3.7142823,21.304865,5.3141327,4.3495274,8.309919,7.7674017,5.9801545,35.424507,16.125536,0.0,10.366607,0.0,11.445064,0.0,14.900091
4.4825373,0.0,7.600883,4.134268,9.042817,5.5207176,0.0,16.227564,16.00578,10.773757,9.072018,7.336652,7.1121206,2.5680976,9.402862,11.278499,2.778583,3.6133862,22.18111,5.564677,4.7412786,8.071094,8.168858,6.010474,35.738064,16.253597,0.0,10.515208,0.0,12.160634,0.0,15.02088
3.152884,0.0,7.3184347,2.8090565,8.290526,5.114105,0.0,17.133425,15.420796,11.056849,8.461156,5.834959,6.101203,3.58532,10.773892,11.922118,3.45917,2.904203,22.613268,5.6909842,5.189868,9.052291,7.963079,6.517529,34.98941,16.127392,0.0,11.355478,0.0,13.060479,0.0,14.791803
3.7093506,0.0,7.7673764,3.2125728,9.04042,5.4244394,0.0,15.859642,16.306963,9.925022,9.884801,6.6801624,6.9926877,2.0499024,9.306694,9.87016,3.5742426,3.3922818,21.92912,6.5806007,5.8667383,8.0024,7.865852,6.072638,33.782383,15.647157,0.0,10.367504,0.0,11.6605,0.0,14.468896
3.552976,0.0,7.5520954,2.8952231,9.043443,5.3718796,0.0,15.454215,16.57689,9.276089,10.219518,6.2881985,6.8409667,1.8681673,8.960308,9.031506,3.9454684,3.2229571,21.55478,6.987451,6.0987124,7.8127947,7.711064,6.1147103,32.55974,15.417973,0.0,10.11631,0.0,11.4203415,0.0,14.110317
3.5831583,0.0,8.034187,2.7164483,9.596894,5.6844883,0.0,15.956417,16.942474,8.762845,11.263515,6.7053003,6.7295322,1.4999318,8.736529,8.487337,4.4919577,3.2757561,22.05868,7.442553,6.7050076,8.111647,8.2009535,6.204477,32.959892,15.845704,0.0,9.998348,0.0,11.729021,0.0,14.132372
3.486635,0.0,8.276835,2.0087547,10.413031,5.6479287,0.0,15.580306,16.625868,7.9109483,12.133947,7.5691147,6.5110188,1.0095886,8.032167,8.0484705,5.0607038,3.6291971,21.659674,7.116379,7.1733537,8.766805,9.278072,6.131184,32.012306,15.160134,0.0,9.454436,0.0,11.408136,0.0,13.513403
2.8968122,0.0,8.008318,0.9193994,9.764579,5.221212,0.0,16.17672,16.025002,7.7317014,11.108074,6.47026,5.760537,1.513547,8.443799,8.959206,5.1283193,2.614599,21.707178,6.570205,7.1845107,9.861155,9.443486,6.9357076,31.316252,15.194646,0.0,10.305543,0.0,12.513651,0.0,13.2920685
3.984824,0.0,8.364977,1.1925699,10.900931,6.623359,0.0,14.611546,16.253119,6.845027,12.56599,8.023152,6.8653345,0.5431833,6.6636305,6.8560724,5.0942926,2.6693184,21.316748,7.561873,7.4614215,8.23391,9.75098,6.3022246,31.30043,14.846655,0.0,8.819954,0.0,11.751053,0.0,12.525023
4.4961863,0.0,8.573221,0.93061817,11.247734,6.7602854,0.0,14.169832,15.733615,6.1966624,12.720672,8.140893,7.04865,0.41339526,6.1390595,6.316441,4.791128,2.6193936,20.873648,7.6553855,7.571964,7.968546,10.059187,6.2083106,30.684965,14.744662,0.0,8.411182,0.0,12.021199,0.0,11.9695
4.732976,0.0,8.867839,0.8420775,11.534983,6.9363575,0.0,14.272387,15.923202,6.2231507,12.835097,8.416542,7.1742887,0.49391922,5.495361,6.5194864,4.461433,2.2908227,21.108387,7.575267,7.535163,7.431076,10.511652,6.4111896,31.237923,14.670143,0.0,8.536178,0.0,12.138362,0.0,11.878195
4.9114,0.0,8.8869295,0.8688221,11.558272,7.217259,0.0,13.810464,15.629729,5.929827,12.687566,8.40166,7.5587015,0.5649345,5.090238,6.317223,4.071483,2.3874624,20.772545,7.4072638,7.585344,7.070879,10.715321,6.547335,31.308123,14.304307,0.0,8.314815,0.0,12.101383,0.0,11.421045
