embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points,noise_percentage,clustered_points,clustered_percentage
50,2,"Hierarchical (average, n=25)",25,0,0.5993412452015063,1977500.802127675,0.30560139456699903,0.15046452971632646,0.38752330272411173,0.3179100251278487,0.4961705867330276,0.38752330272411173,0.427511780241814,0.22158492547791203,0.2918830588140913,962,0.0,962,100.0
50,2,"Hierarchical (single, n=25)",25,0,0.6243859872396884,378824.37615346,0.2258814348817557,0.14730811119789752,0.39852641821811463,0.2777787317399311,0.704969917464162,0.39852641821811474,0.48143844043261835,0.21206504691375305,0.2944361991519018,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=30)",30,0,0.5125358563934005,4841501.631871995,0.5211273426155776,0.12260683798504303,0.38307829259607057,0.37288247267011365,0.393847360769108,0.38307829259607057,0.27262124637731217,0.2070447360756789,0.2353504149539936,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=30)",30,0,0.5528444512191719,3834197.6172681935,0.44926637547360765,0.1330193802773396,0.37537383167975336,0.3404515867215882,0.41827935697282276,0.37537383167975336,0.30475308826288344,0.17861001733630907,0.22522180012250514,962,0.0,962,100.0
50,2,"Hierarchical (average, n=30)",30,0,0.5910237483226077,1722630.4384176948,0.27752537808077576,0.1505601012574397,0.3913296627644643,0.3227830664878928,0.49683898006369465,0.3913296627644643,0.3828311467319653,0.19338503038351879,0.2569654094514626,962,0.0,962,100.0
50,2,"Hierarchical (single, n=30)",30,0,0.33396908222759336,322397.99293286697,0.3456849439680528,0.14964353988482945,0.40641990230506764,0.2860516062112103,0.7016824191176726,0.40641990230506764,0.5276569712243616,0.19063428967848034,0.28008001037579244,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=35)",35,0,0.5226607746553473,5273354.451848949,0.5176107787286771,0.12199636219567221,0.3875129481191938,0.37974332985352216,0.3956071429133332,0.3875129481191937,0.2590789066244963,0.18674450120907615,0.2170436111755056,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=35)",35,0,0.5401420409265327,4075437.5104387794,0.4706396030144725,0.1418364294700973,0.38832117048082865,0.35935969702547854,0.42235995298246604,0.38832117048082854,0.2749018111555302,0.17578625470640025,0.2144452602827116,962,0.0,962,100.0
50,2,"Hierarchical (average, n=35)",35,0,0.5768708727015035,2466989.9974474176,0.34932085149247627,0.12660143821994693,0.3813122923196223,0.3342197091150192,0.44385246784662,0.3813122923196224,0.2944788283378308,0.17007559295959584,0.21562021174495724,962,0.0,962,100.0
50,2,"Hierarchical (single, n=35)",35,0,0.26841655610431037,275172.8232157615,0.4003935581590226,0.14936503862263964,0.405689104018029,0.2860516062112103,0.6973448401666981,0.40568910401802905,0.5036725634414361,0.18196909469309486,0.26734910081325647,962,0.0,962,100.0
