algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_dataset,compared_points
"DBSCAN (cosine, eps=1.0, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.0, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.25, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.25, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.25, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.25, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.5, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.5, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.5, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.5, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.75, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.75, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.75, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.75, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=2.0, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=2.0, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=2.0, min_samples=4)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=2.0, min_samples=5)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
